   N |     ST1 |     ST2 |     ST3 |     ST4 |     SC1 |     SC2 |     SR1 |     SD1
-----|---------|---------|---------|---------|---------|---------|---------|---------
   1 |   34.29 |   44.29 |   20.00 |   20.00 |    7.50 |  150.00 |  604.00 |  -10.10
   2 |   63.05 |   73.05 |   20.60 |   20.00 |    7.50 |  620.00 |  604.00 |    7.87
   3 |   68.00 |   78.00 |   19.80 |   20.10 |   17.59 |  356.55 |  609.00 |   15.30
   4 |   68.53 |   78.53 |   20.00 |   20.00 |   25.00 |  329.58 |  620.00 |   15.88
   5 |   68.42 |   78.42 |   20.00 |   20.00 |   25.00 |  326.75 |  590.00 |   15.94
   6 |   68.00 |   78.00 |   20.50 |   20.00 |   22.61 |  330.66 |  530.00 |   15.86
   7 |   68.00 |   78.00 |   20.00 |   20.00 |   17.58 |  329.58 |  450.00 |   15.88
   8 |   68.00 |   78.00 |   20.00 |   20.20 |   16.05 |  329.58 |  420.00 |   15.88
   9 |   68.00 |   78.00 |   20.70 |   20.00 |   18.09 |  334.29 |  460.00 |   15.78
  10 |   68.00 |   78.00 |   20.00 |   20.00 |   19.12 |  329.58 |  480.00 |   15.88
  11 |   68.00 |   78.00 |   20.50 |   20.00 |   17.58 |  332.94 |  450.00 |   15.81
  12 |   68.00 |   78.00 |   20.50 |   20.30 |   19.15 |  332.94 |  480.00 |   15.81
  13 |   68.00 |   78.00 |   19.00 |   20.50 |   18.66 |  322.86 |  470.00 |   16.03
  14 |   68.00 |   78.00 |   19.00 |   20.60 |   18.67 |  322.86 |  470.00 |   16.03
  15 |   68.00 |   78.00 |   19.50 |   20.40 |   19.16 |  326.22 |  480.00 |   15.95
  16 |   68.00 |   78.00 |   19.50 |   20.20 |   19.14 |  326.22 |  480.00 |   15.95
  17 |   68.00 |   78.00 |   19.50 |   20.10 |   14.50 |  326.22 |  390.00 |   15.95
  18 |   68.00 |   78.00 |   19.50 |   20.00 |   15.00 |  326.22 |  400.00 |   15.95
  19 |   68.00 |   78.00 |   20.00 |   20.00 |   17.58 |  329.58 |  450.00 |   15.88
